Title,Artist,Tags
Ring of Fire,Johnny Cash,Country
River,Leon Bridges,Soul
Rock and Roll,Led Zeppelin,
Rock and Roll Music,The Beatles (Chuck Berry),
Rock Around the Clock,Bill Haley and the Comets,
Rock This Town,The Stray Cats; Brian Setzer,
Rock With You,Michael Jackson,
Rocket Man,Elton John,
Rocky Raccoon,The Beatles,
Roll It On Home,John Mayer,
Romeo + Juliet,Dire Straits,
Rosanna,Toto,80s
Rosie,John Mayer,
Sadie Hawkins Dance,Relient K,
Say,John Mayer,
Say a Little Prayer,Aretha Franklin,Soul
Seasons of Love,Rent,Showtunes
Seven Nation Army,The White Stripes,Rock
Shake a Tailfeather,Ray Charles,Soul
Shake It Off,Taylor Swift,Pop
Shallow,Lady Gaga,Duet
Share the Well,Caedmon's Call,
She,Ben Abraham + John Flanagan,Aussie
She's Always a Woman to Me,Billy Joel,
She's Got a Way,Billy Joel,
She's the One,Bruce Springsteen,
Shelter Me,The Waifs,Aussie
Shiny,Disney (Moana),
Shiver,Coldplay,
Shotgun,George Ezra,
Shout,The Isley Brothers,
Show Yourself,Disney (Frozen 2),
Shower the People,James Taylor; Justin Timberlake,
Shut Up and Dance,Walk The Moon,Pop
Side to Side,The Cat Empire,Aussie
Sigh No More,Mumford & Sons,
"Signed, Sealed, Delivered (I'm Yours)",Stevie Wonder,Soul
Simply the Best,Tina Turner; Noah Reid,
Since U Been Gone,Kelly Clarkson,"Pop, Banger"
Sittin' on the Dock of Bay,Otis Redding,Soul
Sittin' Up In My Room,Brandy,
Sky Full of Stars,Coldplay,
Slow Dancing In a Burning Room,John Mayer,
Smells Like Teen Spirit,Nirvana,Rock
So Into You,Tamia,
Somebody to Love,Queen,Banger
Someone New,Paul Kelly,Aussie
Something Happened on the Way To Heaven,Phil Collins,
Something Like Olivia,John Mayer,
Somewhere Over the Rainbow & Wonderful World,Israel Kamakawiwo'ole,
Sound of Silence,Paul Simon,
Space They Cannot Touch,Kate Miller Heidke,Aussie
Spaceman,The Killers,
Sparks Fly,Taylor Swift,
Spoonful of Sugar,Disney (Mary Poppins),
Stacy's Mom,Fountains of Wayne,Classic
Stand By Me,Ben E. King,
Steal My Kisses,Ben Harper,
Still Feel Like Your Man,John Mayer,
Stop This Train,John Mayer,
Stop! The Love You Save,Jackson 5,Soul
Straight Lines,silverchair,"Aussie / Bangers"
Strawberry Fields Forever,The Beatles,
Strawberry Wine,Deana Carter,
Stuck In the Middle with You,Stealers Wheel,
Sultans of Swing,Dire Straits,
Summer Breeze,Seals and Crofts,
Summertime Blues,Eddie Cochrane,
Sunscreen,Ira Wolf,
Sunshine On My Shoulders,John Denver,
Supercalifragilisticexpialidocious,Disney (Mary Poppins),Showtunes
Sweet Caroline,Neil Diamond,
Sweet Creature,Harry Styles,
Table for Two,Caedmon's Call,
Take me to the River,Al Green,Soul
Teenage Dirtbag,Wheatus,
"Thank U, Next",Ariana Grande,Pop
The Boy in the Bubble,Paul Simon,
The Cave,Mumford & Sons,
The Ghost of Tom Joad,Bruce Springsteen,
The Lion Sleeps Tonight,Harry Belafonte,
The Most Beautiful Girl in the World,Prince,
The Next Right Thing,Disney (Frozen 2),
The One I'm Waiting For,Relient K,
The Scientist,Coldplay,
The Sound of Silence,Simon & Garfunkel,
The Story,Brandi Carlisle,Country
"The Times, They Are A-Changin",Bob Dylan,
The Way You Make Me Feel,Michael Jackson,
The Wire,HAIM,
These Days,Powderfinger,Aussie
Things Happen,Dawes,
Thinking Out Loud,Ed Sheeran,
This is Me,The Greatest Showman,"Group, Showtunes"
This Is On Me,Ben Abraham,Aussie
This Land Is Your Land,Woody Guthrie,
This Little Light of Mine,Harry Dixon Loes,
This Too Shall Be Made Right,Derek Webb,
Three Little Birds,Bob Marley,
Thriller,Michael Jackson,Halloween
Time of My Life (from Dirty Dancing),Bill Medley and Jennifer Warnes,Duet
Time Served,Joey Landreth,
Tiny Dancer,Elton John,Banger
To Her Door,Paul Kelly,Aussie
Together,Tom Tuena,Aussie
Tomorrow,silverchair,Aussie
"Tonight, You Belong to Me",Steve Martin,
Too Late,The Paper Kites,Aussie
Total Eclipse of the Heart,Bonnie Tyler,
Toxic,Britney Spears,
Treat her Right,George Thorogood,
Truth Hurts,Lizzo,"Pop, Banger"
Try A Little Tenderness,Otis Redding,Soul
Twenty-Four,Switchfoot,
Twist and Shout,The Beatles (Medley / Russell),
Two of Us,The Beatles,
Two Princes,Spin Doctors,90s
Unaware,Allen Stone,
Under the Sea,Disney (The Little Mermaid); Alan Menken,Showtunes
Up on the Roof,Justin Timberlake; The Drifters,
Uptown Funk,Mark Ronson / Bruno Mars,Pop
Use Somebody,Kings of Leon,
Valerie,Amy Winehouse,Classic
Video Killed The Radio Star,Buggles,80s
Wagon Wheel,Darius Rucker,
Wait For It,Hamilton; Lin Manuel Miranda,Showtunes
Waiting on the World to Change,John Mayer,
Wake Me Up Before You Go-Go,Wham!,80s
Walk Like an Egyptian,The Bangles,80s
Walkin' After Midnight,Patsy Cline,Country
Walking on Sunshine,Katrina and the Waves,80s
Walt Grace's Submarine Test,John Mayer,
Wanna Be Your Lover,Prince,80s
Wannabe,Spice Girls,"Pop, 90s"
Want You Back,HAIM,
War Is Over (Happy Christmas),John Lennon & Yoko Ono,
Watch Over Me,Bernard Fanning,Aussie
Watermelon Sugar,Harry Styles,Pop
Waving Through A Window,Dear Evan Hansen,Showtunes
We Are Never Ever Getting Back Together,Taylor Swift,Pop
We Are the Champions,Queen,
Wedding Dress,Derek Webb,
What Makes You Beautiful,One Direction,
What the World Needs Now,Burt Bacharach,
What's Going On,Marvin Gaye,Soul
When I Come Around,Green Day,"Rock, 90s"
Where The Streets Have No Name,U2,
Where You're At,Allen Stone,
Whiskey Lullaby,Brad Paisley,Country
White Man's World,Jason Isbell,Country
Who Are We Fooling?,Brooke Fraser,
Wild World,Cat Stevens,
Wildfire,John Mayer,
Wintersong,Blake Mills,
With a Little Help From My Friends,The Beatles,
With or Without You,U2,
"With You, Without you",Brad Paisley,Country
Wonderwall,Oasis,Classic
XO,Beyoncé (John Mayer),
Yesterday,The Beatles,
You Are Mine,MuteMath,
You Are My Sunshine,Johnny Cash,
You Belong With Me,Taylor Swift,"Country, Pop, Classic"
You Can Close Your Eyes,James Taylor,
You Can Leave Your Hat On,Joe Cocker,
You Can Never Hold Back Spring,Tom Waits,
You Can't Hurry Love,The Supremes,Soul
You Gotta Be,Des'ree,
You Keep Me Hanging On,Vanilla Fudge; The Supremes,
You Learn,Alanis Morissette,"Pop, 90s"
You Make My Dreams,Hall & Oates,
You Were On My Mind,Lucius,
You'll Be Back,Hamilton; Lin Manuel Miranda,Showtunes
You're The One That I Want,Grease,Showtunes
You're Welcome,Disney (Moana),
You've Got To Hide Your Love Away,The Beatles,
Your Cheatin’ Heart,Hank Williams,Country
The Heartburn Song (It's Gonna Be Alright),Lawrence,
Make a Move,Lawrence,
It's Not All About You,Lawrence,
Don't Lose Sight,Lawrence,
The Weather,Lawrence,
Devil Went Down to Georgia,Charlie Daniels Band,Country
Redneck Woman,Gretchen Wilson,Country
Dancing in the Dark,Bruce Springsteen,80s
Monkey Wrench,Foo Fighters,Rock
The Pretender,Foo Fighters,"Rock, Bangers"
Times Like These,Foo Fighters,
Everlong,Foo Fighters,"Rock, Classic"
Just A Girl,No Doubt,90s
Don't Speak,No Doubt,90s
The Set Up (You Need This),Reel Big Fish,Rock
Sell Out,Reel Big Fish,Rock
Beer,Reel Big Fish,Rock
Reelin' in the Years,Steely Dan,
Ants Marching,Dave Matthews Band,
Crash Into Me,Dave Matthews Band,
Dancing Queen,ABBA,70s
Fireflies,Owl City,
Alive,Pearl Jam,Rock
Dancing on My Own,Robyn,Pop
If We Were Vampires,Jason Isbell,Country
Satisfied,Hamilton; Lin Manuel Miranda,
Again,Lenny Kravitz,
Alabama Pines,Jason Isbell,Country
American Idiot,Green Day,Rock
Are You Gonna Go My Way,Lenny Kravitz,Rock
Basket Case,Green Day,"Rock, 90s"
Cover Me Up,Jason Isbell,Country
Creep,Radiohead,
Good Riddance (Time of Your Life),Green Day,
Heartache Tonight,Eagles,
Hotel California,Eagles,
Iris,Goo Goo Dolls,
Love Song,Sara Bareilles,
Shimmer,Fuel,90s
Baby One More Time, Britney Spears,90s
I'm Gonna Be (500 Miles), The Proclaimers,
Oops! I Did it Again, Britney Spears,90s
Light of a Clear Blue Morning, Dolly Parton,Country
Call Me, Blondie,80s
Little Miss Can't Be Wrong,Spin Doctors,90s
Surface Pressure,"Lin Manuel Miranda, Disney (Encanto)",
Stairway to Heaven, Led Zeppelin,
At Last, Etta James,
Royals, Lorde,
Hello, Adele,
Rolling in the Deep, Adele,
I Will Always Love You,"Dolly Parton; Whitney Houston",
Marry You,Bruno Mars,
The Middle,Jimmy Eat World,Rock
Flagpole Sitta,Harvey Danger,
Build Me Up Buttercup,The Foundations,Soul
To Be With You,Mr Big,90s
The Distance,Cake,90s
Short Skirt Long Jacket,Cake,90s
Son of a Preacher Man,Dusty Springfield,Soul
Heart of Glass,Blondie,80s
You Oughta Know,Alanis Morissette,"Pop, 90s"
What I Like About You,The Romantics,
We Don't Talk About Bruno,"Lin Manuel Miranda; Disney (Encanto)",
Why Am I Like This?,Orla Gartland,
That's Where I Am,Maggie Rogers,
"Sweet Dreams/Seven Nation Army Mashup",Pomplamoose,
Deep Water,Haley Reinhart,
Want Want,Maggie Rogers,
