Title,Artist,Tags,Cover
Castle on thehill,Ed Sheeran,,https://i.scdn.co/image/ab67616d0000b273ba5db46f4b838ef6027e6f96
Cecilia,Simon & Garfunkel,,https://i.scdn.co/image/ab67616d0000b273ba7fe7dd76cd4307e57dd75f
Celebrity Skin,Hole,"Rock, 90s",https://i.scdn.co/image/ab67616d0000b2730649124c37ce988317263671
Centerfold,J. Geils Band,,https://i.scdn.co/image/ab67616d00001e0238b2429ef948e6ca8d3ab599
Chain of Fools,Aretha Franklin,Soul,https://i.scdn.co/image/ab67616d0000b2739e5af96086574b76499dcf70
Champagne Supernova,Oasis,,https://i.scdn.co/image/ab67616d0000b2737a4c8c59851c88f6794c3cbf
Chandelier,Sia,,https://i.scdn.co/image/ab67616d0000b273b55ed804149fffbb5e35ff34
Cherry Cherry,Neil Diamond,,https://i.scdn.co/image/ab67616d0000b27336d6a0e9046f5cf060aa51e8
Chim Chim Cher-ee,Disney,,https://i.scdn.co/image/ab67616d0000b2738d7ee44aecbc4943229427dc
Chop Suey,System of a Down,2000s,https://i.scdn.co/image/ab67616d0000b273b7a9a6a2bf311630d3fc6956
Cinnamon Girl,Prince,,https://i.scdn.co/image/ab67616d0000b27328b476821e82d2ba009b0361
Clocks,Coldplay,,https://i.scdn.co/image/ab67616d0000b273de09e02aa7febf30b7c02d82
Closer to Fine,Indigo Girls,90s,https://i.scdn.co/image/ab67616d0000b273347cd7326ed7dc67048e7420
Closing Time,Semisonic,,https://i.scdn.co/image/ab67616d0000b273dec0d479b10bccff532074ed
Colors of the Wind,Disney,,https://i.scdn.co/image/ab67616d0000b2734bf1788cb3181e3ca18e1350
Come Together,The Beatles,,https://i.scdn.co/image/ab67616d0000b273dc30583ba717007b00cceb25
Come When I Call,John Mayer,,https://i.scdn.co/image/ab67616d0000b2735b9c332f9f76cabc137e400f
Complicated,Avril Lavigne,,https://i.scdn.co/image/ab67616d0000b273f7ec724fbf97a30869d06240
Control,MuteMath,,https://i.scdn.co/image/ab67616d0000b273d0c3e834193e9dc4c68d8df0
Counting Blue Cars,Dishwalla,90s,https://i.scdn.co/image/ab67616d0000b273b5dcc1e0cb6bbfda3298c65b
Cover Me Up,Jason Isbell,Country,https://i.scdn.co/image/ab67616d0000b273cadba04ee5fa8612182151c6
Crash Into Me,Dave Matthews Band,,https://i.scdn.co/image/ab67616d0000b2738b661bd40fbd8c6fbb26e3df
Crazy,Patsy Cline,Country,https://i.scdn.co/image/ab67616d0000b2736fda96b0954b958ee44c8efc
Crazy In Love,Beyoncé,,https://i.scdn.co/image/ab67616d0000b27345680a4a57c97894490a01c1
Crazy Little Thing Called Love,Queen,,https://i.scdn.co/image/ab67616d0000b27307744e2ed983efa3e6620a47
"Crazy Love, VOL. II",Paul Simon,,https://i.scdn.co/image/ab67616d0000b27309880a7b8636c5a0615dc0c8
Cream,Prince,,https://i.scdn.co/image/ab67616d0000b273a3c44b7a278ab2140b49d81c
Creep,Radiohead,,https://i.scdn.co/image/ab67616d0000b273df55e326ed144ab4f5cecf95
Crowded Table,Thehighwomen,Country,https://i.scdn.co/image/ab67616d0000b273e65e147a6f24ecf3f5261e2f
Cruel Summer,Taylor Swift,2000s,https://i.scdn.co/image/ab67616d0000b27373e05d44cf2a571ccbc16e60
Dancing in the Dark,Bruce Springsteen,80s,https://i.scdn.co/image/ab67616d0000b273a7865e686c36a4adda6c9978
Dancing in the Street,Martha Reeve and the Vandellas,Soul,https://i.scdn.co/image/ab67616d0000b273fc466e0c9ac165ac85ddbedf
Dancing on My Own,Robyn,Pop,https://i.scdn.co/image/ab67616d0000b273b4375effb23372cc8cff5045
Dancing on the Ceiling,Lionel Richie,,https://i.scdn.co/image/ab67616d0000b2732c33399e119cec9b0fcde564
Dancing Queen,ABBA,70s,https://i.scdn.co/image/ab67616d0000b27370f7a1b35d5165c85b95a0e0
Dare You To Move,Switchfoot,,https://i.scdn.co/image/ab67616d0000b2730f6618cd5d9efa9b71cfa688
Dear Theodosia,Hamilton,"Duet, Showtunes",https://i.scdn.co/image/ab67616d0000b2733743f2dba9dde74bf4338540
Deck thehalls,Christmas,,https://i.scdn.co/image/ab67616d0000b273a640be34ee9f2a864396bc20
Deep Water,Haley Reinhart,,https://i.scdn.co/image/ab67616d0000b2731907562a6462f43ad8345d3c
Deeper Water,Paul Kelly,Aussie,https://i.scdn.co/image/ab67616d0000b2731a171f3f2becb7cb5a166fc1
Devil Went Down to Georgia,Charlie Daniels Band,Country,https://i.scdn.co/image/ab67616d0000b27382f846c52535bb65ab1d1a54
Diamonds on the Soles ofher Shoes,Paul Simon,,https://i.scdn.co/image/ab67616d0000b27309880a7b8636c5a0615dc0c8
Dirty Old Town,The Pogues,,https://i.scdn.co/image/ab67616d0000b2738dcbee93733dd5393e629653
Dizzy,Vic Reeves,,https://i.scdn.co/image/ab67616d0000b273c73db73778430c4114701d75
Do Youhear the People Sing,Les Misérables,Showtunes,https://i.scdn.co/image/ab67616d0000b27390c3b1e71ca963d6f8f6052c
Do You Love Me,The Contours,,https://i.scdn.co/image/ab67616d0000b273c2097cc645d57a900f8c84e7
Don't Be Cruel,Elvis Presley,,https://i.scdn.co/image/ab67616d0000b27320ee3e86e17f17239bef1f76
Don't Dream It's Over,Crowdedhouse,,https://i.scdn.co/image/ab67616d0000b27394663b317230b549227c2172
Don't Know Why,Norah Jones,"Ballad, 2000s",https://i.scdn.co/image/ab67616d00001e02c648a42b5dad72c8aafceeec
Don't Let Me Down,The Beatles,,https://i.scdn.co/image/ab67616d0000b2735a18ca8e4cd3652ef2617886
Don't Look Back In Anger,Oasis,,https://i.scdn.co/image/ab67616d00001e022f2eeee9b405f4d00428d84c
Don't Lose Sight,Lawrence,,https://i.scdn.co/image/ab67616d00001e028e0ad450240054eeeda687db
Don't Send Me Away,Dawes,,https://i.scdn.co/image/ab67616d00001e024ca2ff72d8628832418d69af
Don't Speak,No Doubt,90s,https://i.scdn.co/image/ab67616d00001e026ebd5e789646a833b8f7d4ba
Don't Start Now,Dua Lipa,Pop,https://i.scdn.co/image/ab67616d0000b27317b4fde054db6baa2956f4f4
Don't Stop Believing,Journey,Rock,https://i.scdn.co/image/ab67616d00001e02c5653f9038e42efad2f8a266
Don't Stop Me Now,Queen,,https://i.scdn.co/image/ab67616d00001e02008b06ec71019afd70153889
Don't Tell Our Friends About Me,Blake Mills,,https://i.scdn.co/image/ab67616d00001e02504f36e65137333a50d166b4
"Don't Worry, Behappy",Bobby McFerrin,,https://i.scdn.co/image/ab67616d0000b2739b3ab5d2a99c1d7753f2d857
Don't You Want Me,Human League,,https://i.scdn.co/image/ab67616d00001e025579d8a505c727349a203074
Down on the Corner,Creedence Clearwater Revival,,https://i.scdn.co/image/ab67616d0000b2739f39192f9f8ca1c90847b3e5
Down Under,Men At Work,"Aussie, 80s",https://i.scdn.co/image/ab67616d0000b273aa5e4c9da271951ac0b31fa2
Dream a Little Dream of Me,Mama Cass,,https://i.scdn.co/image/ab67616d0000b27388cad1831fd30db7f0f1c473
Dream Lover,Bobby Darin,,https://i.scdn.co/image/ab67616d0000b273862db99c6256291d040fe219
Dreaming With a Brokenheart,John Mayer,,https://i.scdn.co/image/ab67616d0000b2737af5fdc5ef048a68db62b85f
Dreams,The Cranberries,Bangers,https://i.scdn.co/image/ab67616d0000b273f6325f361d7803ad0d908451
Dreams,Fleetwood Mac,,https://i.scdn.co/image/ab67616d0000b273e52a59a28efa4773dd2bfe1b
Driver's License,Olivia Rodrigo,Bangers,https://i.scdn.co/image/ab67616d0000b273a91c10fe9472d9bd89802e5a
Electric Indigo,The Paper Kites,Aussie,https://i.scdn.co/image/ab67616d0000b273fac40a5731f33eaa7043b070
Everlong,Foo Fighters,"Rock, Classic",https://i.scdn.co/image/ab67616d0000b2730389027010b78a5e7dce426b
Every Breath You Take,The Police,80s,https://i.scdn.co/image/ab67616d0000b273c8e97cafeb2acb85b21a777e
Everybody (Backstreet's Back),Backstreet Boys,,https://i.scdn.co/image/ab67616d0000b273c999354430ff7eac3e0d9bc8
Everybodyhurts,R.E.M.,,https://i.scdn.co/image/ab67616d0000b273ace3e7aae0b7c78bbe1c4f35
Everybody Needs Somebody,Blues Brothers,,https://i.scdn.co/image/ab67616d0000b2739a88a61e9fb51cce727b0f52
Everybody Wants to Rule the World,Tears for Fears,,https://i.scdn.co/image/ab67616d0000b27322463d6939fec9e17b2a6235
Everything Will Change,Derek Webb,,https://i.scdn.co/image/ab67616d0000b27357a9355c5e537f3de1be8385
F*** You,CeeLo Green,,https://i.scdn.co/image/ab67616d0000b2736f50b3400595b123a916e0dc
Fairytale of New York,The Pogues,,https://i.scdn.co/image/ab67616d0000b273d0ccf94a2d981db731f5dab8
Faith,George Michael,80s,https://i.scdn.co/image/ab67616d0000b2733d7a9b3dd60f47955a0cb234
Falling Slowly,Glenhansard and Markéta Irglová,Duet,https://i.scdn.co/image/ab67616d0000b27321b9df8a4fe78b431c63f948
Fallingwater,Maggie Rogers,,https://i.scdn.co/image/ab67616d0000b273d658a02ba8931985bdc4e0da
Fast Car,Tracey Chapman,,https://i.scdn.co/image/ab67616d00001e027602becfedf6e25752cb54ff
Fat Lip,Sum 41,"Rock, 2000s",https://i.scdn.co/image/ab67616d0000b2739a482180e6a306229bff49dc
Fell In Love With a Girl,White Stripes,,https://i.scdn.co/image/ab67616d0000b273c6084929566743530de8c721
Fernando,ABBA,70s,https://i.scdn.co/image/ab67616d0000b27370f7a1b35d5165c85b95a0e0
Fight For Your Right (To Party),Beastie Boys,"Rock, 80s",https://i.scdn.co/image/ab67616d0000b2739bfd5530395fa1a1b5044f18
